word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
respectivo	2	7	0	9	-0.1504235697663003	2.3424689622862496e-05	3.171970654740057e-05	0.5625	0.4532547047537363	-0.0139908609382905	0.2891567062303131	0.0	19th
comercial	1	2	0	3	0.1275358098113901	1.1712344811431248e-05	9.062773299257306e-06	0.0	1.0	0.3914742471698738	0.1350060264030547	0.0	19th
patriota	1	2	0	3	0.1275358098113901	1.1712344811431248e-05	9.062773299257306e-06	0.0	1.0	0.3914742471698738	0.1350060264030547	0.0	19th
chamejante	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
imoral	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
fatal	4	6	0	10	0.2655547049057641	4.684937924572499e-05	2.718831989777192e-05	2.8125	0.0935325126890928	0.5737958039638285	0.0296455107452283	0.0	19th
pretensioso	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
lisonjeiro	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
urbano	0	3	0	3	-1.0	0.0	1.359415994888596e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
nus	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
ambulante	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
estrepitoso	3	1	0	4	0.7715368282472317	3.513703443429375e-05	4.531386649628653e-06	2.1333333333333333	0.1441270348160111	1.2024044633862023	-0.8458232266086715	0.0	19th
comovido	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
varado	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
defeituoso	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
atroz	4	4	0	8	0.4420756510914419	4.684937924572499e-05	1.8125546598514613e-05	3.0	0.0832645166635504	0.7969393552780382	-0.1526760460487262	0.0	19th
demente	1	1	0	2	0.4420756510914419	1.1712344811431248e-05	4.531386649628653e-06	0.0	1.0	0.7969393552780382	-0.1526760460487262	0.0	19th
incluso	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
reincidente	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
esmagador	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
normal	1	1	0	2	0.4420756510914419	1.1712344811431248e-05	4.531386649628653e-06	0.0	1.0	0.7969393552780382	-0.1526760460487262	0.0	19th
tolerante	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
asqueroso	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
melhor	7	15	0	22	0.0934640862918561	8.198641368001875e-05	6.79707997444298e-05	6.115830115830117	0.013397647857616	0.3449542315349809	0.1574788822551132	0.0	19th
