filename	id	title	author	genre
obra_324	Uma partida Prosa:conto MdA 1892 masc 	Uma partida	Machado de Assis	conto
obra_325	Um apólogo Prosa:conto MdA 1896 masc 	Um apólogo	Machado de Assis	conto
obra_326	Uma por outra Prosa:conto MdA 1897 masc 	Uma por outra	Machado de Assis	conto
obra_327	Umas férias Prosa:conto MdA 1906 masc 	Umas férias	Machado de Assis	conto
obra_328	Uma visita de Alcebíades Prosa:conto MdA 1882 masc 	Uma visita de Alcebíades	Machado de Assis	conto
obra_329	Um cão de lata ao rabo Prosa:conto MdA 1878 masc 	Um cão de lata ao rabo	Machado de Assis	conto
obra_330	Um capitão de voluntários Prosa:conto MdA 1906 masc 	Um capitão de voluntários	Machado de Assis	conto
obra_331	Um dia de entrudo Prosa:conto MdA 1874 masc 	Um dia de entrudo	Machado de Assis	conto
obra_332	Um dístico Prosa:conto MdA 1886 masc 	Um dístico	Machado de Assis	conto
obra_333	Um erradio Prosa:conto MdA 1899 masc 	Um erradio	Machado de Assis	conto
obra_334	Um esqueleto Prosa:conto MdA 1875 masc 	Um esqueleto	Machado de Assis	conto
obra_335	Um homem célebre Prosa:conto MdA 1896 masc 	Um homem célebre	Machado de Assis	conto
obra_336	Um Homem superior Prosa:conto MdA 1873 masc 	Um Homem superior	Machado de Assis	conto
obra_337	Um incêndio Prosa:conto MdA 1906 masc 	Um incêndio	Machado de Assis	conto
obra_338	Um para o outro Prosa:conto MdA 1879 masc 	Um para o outro	Machado de Assis	conto
obra_339	Um quarto de século Prosa:conto MdA 1893 masc 	Um quarto de século	Machado de Assis	conto
obra_340	Um sonho e outro sonho Prosa:conto MdA 1892 masc 	Um sonho e outro sonho	Machado de Assis	conto
obra_341	Uns braços Prosa:conto MdA 1896 masc 	Uns braços	Machado de Assis	conto
obra_342	Valério Prosa:conto MdA 1874 masc 	Valério	Machado de Assis	conto
obra_343	Vênus! Divina Vênus! Prosa:conto MdA 1893 masc 	Vênus! Divina Vênus!	Machado de Assis	conto
obra_344	Verba testamentária Prosa:conto MdA 1882 masc 	Verba testamentária	Machado de Assis	conto
obra_345	Viagem à roda de mim mesmo Prosa:conto MdA 1885 masc 	Viagem à roda de mim mesmo	Machado de Assis	conto
obra_346	Vidros quebrados Prosa:conto MdA 1883 masc 	Vidros quebrados	Machado de Assis	conto
